user_id,days_active,avg_session_duration,num_logins,features_used,region,device_type,email_open_rate,ad_clicks,is_premium_user
1,7,10.85603112977749,46,6,Russia,Mobile,0.08811901332949323,2,0
2,20,7.584235107404686,30,3,South Africa,Desktop,0.5799307906855448,3,1
3,29,5.271744759701496,10,14,India,Mobile,0.8716518812388218,9,0
4,15,11.07439115453189,49,13,Russia,Desktop,0.42086524951500714,2,0
5,11,7.810576282061306,29,10,Germany,Mobile,0.8001254875113715,2,1
6,8,6.645937577121465,40,5,Germany,Desktop,0.8038160796362951,6,1
7,29,10.351737513926855,18,9,India,Desktop,0.05984603858624693,4,1
8,21,4.399116645479117,12,4,Russia,Mobile,0.41214372573072167,4,0
9,7,18.699423195357333,49,11,India,Desktop,0.6910254866870436,3,1
10,26,17.618637762546303,23,2,Russia,Desktop,0.4223535090688829,9,1
11,19,14.737170543329636,11,5,Russia,Desktop,0.5451672481793561,7,0
12,23,3.911848896592212,9,3,India,Desktop,0.59445790460664,0,0
13,11,15.965790580454474,24,12,Brazil,Desktop,0.15122937673124248,8,0
14,11,16.543231905962344,25,3,South Africa,Desktop,0.41198120614852984,8,0
15,24,15.819763118858079,25,4,South Africa,Desktop,0.028463221683565854,4,1
16,21,4.051385968146341,47,12,South Africa,Desktop,0.14962608319534443,0,0
17,4,13.590343227219766,9,4,India,Desktop,0.5122540633764986,1,0
18,8,17.017846323489174,12,5,Russia,Mobile,0.5735859979388103,1,0
19,24,12.392361221954019,11,7,Russia,Desktop,0.1462344065916623,5,0
20,3,13.635332754105601,49,4,Germany,Desktop,0.7556192702124205,9,0
21,22,10.250542629673511,38,11,Russia,Mobile,0.3729878878709927,8,0
22,21,11.516731757912947,28,7,Brazil,Desktop,0.9206499288276719,2,0
23,2,2.618783450331054,8,9,South Africa,Desktop,0.3876627233054065,7,0
24,24,13.501334395519123,10,3,Brazil,Mobile,0.14981097643260455,1,0
25,12,3.4660498320408655,25,5,South Africa,Desktop,0.7579704586807576,4,0
26,6,9.83026269812402,47,4,India,Mobile,0.5678008004393289,3,0
27,2,7.267791758013341,36,9,Brazil,Mobile,0.38668816824415575,4,0
28,28,11.817703103810835,43,5,Russia,Desktop,0.3559571634322616,3,0
29,21,4.401494039417727,9,10,South Africa,Mobile,0.15076897355727104,0,0
30,1,14.449581235519727,41,2,Germany,Mobile,0.34083462746601145,0,1
31,12,16.310207664712465,8,10,Brazil,Desktop,0.029344140978335043,5,0
32,26,4.940380095376817,3,1,India,Desktop,0.5024019140757711,7,0
33,22,3.8776355723338787,18,7,Germany,Mobile,0.8967237418137359,6,0
34,29,4.6192786901724645,46,11,India,Desktop,0.7953307962153271,3,0
35,12,17.78829611417303,35,1,South Africa,Mobile,0.02852119720421431,4,0
36,25,11.507406711614411,17,8,Brazil,Mobile,0.8812603262682325,7,0
37,17,10.410697928135047,36,9,India,Desktop,0.4523248288825533,5,0
38,27,3.9208127438423768,28,7,Germany,Mobile,0.1908914654154944,7,1
39,27,13.692008121625312,15,9,Germany,Desktop,0.7524119552153874,5,0
40,10,17.623992654111618,19,10,Russia,Desktop,0.32287355017704633,7,0
